event_1,event_2,event_3,event_4,event_5,time
0.0052421459079701,0.02799481627543297,0.03373712039684312,0.014552249690682079,0.03762481482929488,1.4313542361574383e-05
0.005241927207614892,0.027993669233269153,0.033735636995976134,0.014551418549271252,0.03762322915129597,1.4329553035356906e-05
0.005241708516012995,0.02799252223700669,0.03373415365446679,0.014550587441122332,0.03762164353674606,1.4345563709139428e-05
0.005241489833164057,0.02799137528664374,0.03373267037231273,0.014549756366233983,0.03762005798564261,1.4361574382921949e-05
0.00524127115906773,0.027990228382178458,0.033731187149511566,0.014548925324604878,0.037618472497983044,1.4377585056704472e-05
0.00524105249372366,0.027989081523609002,0.03372970398606094,0.014548094316233684,0.037616887073764885,1.4393595730486992e-05
0.0052408338371315024,0.02798793471093356,0.033728220881958475,0.014547263341119067,0.037615301712985556,1.4409606404269515e-05
0.005240615189290902,0.027986787944150274,0.03372673783720178,0.014546432399259705,0.03761371641564253,1.4425617078052036e-05
0.0052403965502015116,0.027985641223257324,0.0337252548517885,0.01454560149065426,0.03761213118173329,1.4441627751834558e-05
0.005240177919862979,0.027984494548252855,0.033723771925716246,0.014544770615301406,0.037610546011255255,1.4457638425617079e-05
0.005239959298274954,0.027983347919135048,0.033722289058982675,0.014543939773199807,0.03760896090420591,1.4473649099399601e-05
0.005239740685437087,0.02798220133590208,0.03372080625158537,0.014543108964348137,0.03760737586058272,1.4489659773182122e-05
0.005239522081349028,0.027981054798552077,0.03371932350352197,0.014542278188745065,0.03760579088038315,1.4505670446964645e-05
0.005239303486010426,0.02797990830708322,0.03371784081479012,0.014541447446389263,0.03760420596360467,1.4521681120747166e-05
0.005239084899420933,0.02797876186149369,0.03371635818538744,0.014540616737279397,0.03760262111024471,1.4537691794529688e-05
0.005238866321580196,0.027977615461781628,0.03371487561531157,0.014539786061414131,0.03760103632030077,1.4553702468312209e-05
0.005238647752487866,0.027976469107945216,0.03371339310456009,0.014538955418792148,0.037599451593770296,1.4569713142094731e-05
0.005238429192143593,0.0279753227999826,0.03371191065313067,0.01453812480941211,0.03759786693065075,1.4585723815877252e-05
0.005238210640547027,0.027974176537891967,0.03371042826102092,0.014537294233272683,0.0375962823309396,1.4601734489659775e-05
0.005237992097697817,0.027973030321671467,0.03370894592822847,0.014536463690372545,0.0375946977946343,1.4617745163442295e-05
0.005237773563595615,0.02797188415131927,0.03370746365475095,0.014535633180710364,0.03759311332173234,1.4633755837224818e-05
0.00523755503824007,0.027970738026833534,0.03370598144058598,0.014534802704284807,0.03759152891223116,1.4649766511007339e-05
0.005237336521630829,0.027969591948212427,0.03370449928573121,0.014533972261094548,0.037589944566128214,1.4665777184789861e-05
0.005237118013767546,0.027968445915454134,0.033703017190184224,0.014533141851138251,0.037588360283421,1.4681787858572382e-05
0.00523689951464987,0.027967299928556778,0.03370153515394269,0.014532311474414597,0.037586776064106965,1.4697798532354905e-05
0.00523668102427745,0.02796615398751856,0.03370005317700421,0.014531481130922244,0.03758519190818357,1.4713809206137425e-05
0.005236462542649935,0.027965008092337637,0.033698571259366435,0.01453065082065987,0.037583607815648276,1.4729819879919948e-05
0.005236244069766977,0.02796386224301216,0.033697089401026975,0.014529820543626145,0.03758202378649856,1.4745830553702469e-05
0.0052360256056282264,0.02796271643954032,0.03369560760198346,0.014528990299819734,0.03758043982073188,1.4761841227484991e-05
0.00523580715023333,0.027961570681920254,0.03369412586223351,0.01452816008923931,0.037578855918345686,1.4777851901267514e-05
0.005235588703581943,0.027960424970150152,0.03369264418177479,0.014527329911883546,0.037577272079337476,1.4793862575050034e-05
0.005235370265673712,0.02795927930422817,0.03369116256060489,0.014526499767751118,0.03757568830370468,1.4809873248832557e-05
